key	ja	en
streak.records	私の記録	My Records
streak.longestStreak	最長ストリーク	Longest Streak
streak.totalStudyDays	合計学習日数	Total Study Days
streak.days	日	days
streak.month	{year}年{month}月	{year}/{month}
settings.title	設定	Settings
settings.section.membership	メンバーシップ	Membership
settings.membership.manage	メンバーシップ管理	Manage Membership
settings.membership.planValue	無料プラン	Free Plan
settings.membership.restorePurchases	購読履歴を取得する	Restore Purchases
settings.membership.account	アカウント管理	Account
settings.section.general	一般	General
settings.general.notifications	通知設定	Notifications
settings.general.preferences	環境設定	Preferences
settings.general.clearCache	キャッシュの消去	Clear Cache
settings.clearCacheConfirm	全ての学習データ・設定を削除します。この操作は取り消せません。本当に削除しますか？	This will delete all study data and settings. This cannot be undone. Continue?
settings.section.support	サポート	Support
settings.support.helpCenter	サポートセンター	Help Center
settings.support.appLanguage	アプリの言語	App Language
settings.support.terms	利用規約と個人情報について	Terms & Privacy
settings.section.account	アカウント	Account
settings.loginGoogle	Googleでログイン	Sign in with Google
settings.loginEmail	メールアドレスでログイン	Sign in with email
settings.logout	ログアウト	Log out
settings.section.notifications	通知	Notifications
settings.reminder	今日の1問リマインダー	Daily problem reminder
settings.reminderTime	毎日 {h}:{m}	Daily at {h}:{m}
settings.section.app	アプリ	App
settings.section.data	データ	Data
settings.notificationsWebOnly	アプリ版のみ有効です	Available in the app version only
auth.emailLabel	メールアドレス	Email
auth.passwordLabel	パスワード	Password
auth.loginTab	ログイン	Log in
auth.signupTab	新規登録	Sign up
auth.loginBtn	ログインする	Log in
auth.signupBtn	登録する	Sign up
auth.firebaseNotConfigured	Firebase未設定（開発中）	Firebase not configured (dev)
auth.wrongPassword	パスワードが間違っています	Incorrect password
auth.userNotFound	メールアドレスが見つかりません	Email not found
auth.emailInUse	このメールアドレスは既に使われています	Email already in use
auth.weakPassword	パスワードは6文字以上にしてください	Password must be at least 6 characters
auth.invalidEmail	メールアドレスの形式が正しくありません	Invalid email address
auth.genericError	ログインに失敗しました	Login failed
auth.orDivider	または	or
auth.tagline	論理的思考を、毎日の習慣に	Train logical thinking, every day
auth.welcomeTitle	ようこそ	Welcome
auth.welcomeDesc	Googleアカウントでかんたんにログインできます	Sign in easily with your Google account
auth.googleBtn	Googleでログイン	Continue with Google
auth.loggingIn	ログイン中...	Signing in...
auth.termsNote	ログインすることで、利用規約とプライバシーポリシーに同意したものとみなされます	By signing in, you agree to our Terms of Service and Privacy Policy
ranking.title	偏差値ランキング	Score Ranking
ranking.ctaTitle	まだプレイスメントテストを受けていません	You haven\'t taken the placement test yet
ranking.ctaDesc	テストを受けると、偏差値ランキングに参加できます。	Take the test to join the score ranking.
ranking.ctaButton	テストを受ける	Take the test
ranking.loading	読み込み中...	Loading...
ranking.error	ランキングの取得に失敗しました	Failed to load the ranking
ranking.empty	まだ参加者がいません。	No participants yet.
ranking.participants	参加者	Participants
ranking.yourRank	あなたの順位	Your rank
ranking.deviation	偏差値	Score
ranking.unitPeople	人	
ranking.unitRank	位	
ranking.topPercent	上位 {pct}%	Top {pct}%
ranking.topListH	偏差値ランキング	Deviation ranking
ranking.youBadge	YOU	YOU
ranking.deviationLabel	偏差値	Score
ranking.retake	もう一度テストを受ける	Retake the test
ranking.leaderboard	全国ランキング	NATIONAL LEADERBOARD
label.question	問題	QUESTION
label.answer	解答	ANSWER
label.fermi	フェルミ推定	Fermi Estimation
label.todaysChallenge	今日の問題	
label.todaysResult	今日の結果	
label.level	Lv.	Lv.
label.xpUnit	XP	XP
label.hint	ヒント	HINT
label.yourAnswer	あなたの回答	Your Answer
label.youBadge	プロフィール	YOU
label.ptUnit	pt	pt
label.ptPerMin	+2 pt / 分	+2 pt / min
label.daysAgo	{n}日前	{n} days ago
label.today	今日	Today
home.subtitle	今日も一歩ずつ。	Keep going, one step at a time.
home.subtitleLong	今日も一歩ずつ。昨日より少しだけ賢くなろう。	One step at a time. A little wiser than yesterday.
home.greetingSep	、	, 
home.todayRecommended	今日のおすすめ	
home.categories	カテゴリ	Categories
home.viewAll	全て見る →	View all →
home.startLesson	スタート	Start
home.fermiQuestion	日本にある電柱の本数はどれくらい?	How many utility poles are there in Japan?
home.placementIncomplete	プレースメントテスト未完了	Placement test not done
home.streakRecovery	今日中にレッスンを完了すれば連続日数を維持できます（残り {hours} 時間 {minutes} 分）	Complete a lesson today to keep your streak ({hours}h {minutes}m left)
home.dayStreakLabel	日間連続	DAY STREAK
home.thisWeek	今週	This week
home.weekProgress	{n} / 7 日	{n} / 7 days
home.streakProtectionLabel	ストリーク保護中	Streak protection active
home.nationalRanking	全国ランキング	NATIONAL RANKING
home.levelProgress	レベル進捗	LEVEL PROGRESS
home.pointsToday	+{n} 今日	+{n} today
home.placementDone	判定済み	Placement
home.totalEarned	合計獲得	Total earned
home.greeting.night1	まだ起きてる?	Still up?
home.greeting.morning	おはよう	Good morning
home.greeting.afternoon	こんにちは	Good afternoon
home.greeting.evening	こんばんは	Good evening
home.greeting.night2	お疲れさま	Good night
home.category.fermi	フェルミ推定	Fermi Estimation
home.category.logic	論理パズル	Logic Puzzles
home.category.case	ケース面接	Case Interview
roadmap.title	学習パス	Learning Path
roadmap.subtitle	順番に進めると体系的に身につきます	Follow the path to build skills step by step
rank.currentBadge	現在	NOW
profile.statStreak	連続日数	Streak
profile.statCompleted	完了レッスン	Lessons
profile.statStudyTime	学習時間	Study
profile.points	ポイント	Points
profile.nationalRankingCard	全国ランキング	National Ranking
profile.categoryProgress	カテゴリ進捗	Category Progress
profile.statStreakDays	連続学習日数	Day Streak
profile.statTotalStudyTime	総学習時間	Study Time
dailyFermi.title	デイリーフェルミ	Daily Fermi
dailyFermi.heading	今日のフェルミ問題	
dailyFermi.showHint	ヒントを見る	Show hint
dailyFermi.answerLabel	あなたの推定アプローチ	Your estimation approach
dailyFermi.feedbackTitle	AI フィードバック	AI Feedback
report.title	問題を報告	Report a Problem
report.eyebrow	FEEDBACK	FEEDBACK
report.heading	誤りや問題点を報告	Report an error
report.issueTypeLabel	報告の種別	Issue type
report.issueTypePlaceholder	種別を選択してください	Select an issue type
report.commentLabel	コメント（任意）	Comment (optional)
report.commentPlaceholder	詳しい内容を教えてください	Please describe the issue in detail
report.submitButton	報告する	Submit report
report.successTitle	報告を受け付けました	Report received
report.successBody	ご報告ありがとうございます。内容を確認次第、メールでご連絡いたします。	Thank you for your feedback. We will review it and get back to you by email.
report.aiProblemTitle	AI問題	AI Problem
report.fermiTitle	フェルミ推定	Fermi Estimation
report.dailyFermiTitle	デイリーフェルミ	Daily Fermi
report.aiLimitTitle	月間上限に達しました	Monthly limit reached
report.aiLimitBody	スタンダードプランでは月30問まで生成できます。プレミアムにアップグレードすると無制限になります。	The Standard plan allows up to 30 AI-generated problems per month. Upgrade to Premium for unlimited access.
report.aiLimitUpgrade	プレミアムにアップグレード	Upgrade to Premium
report.aiLimitCount	今月の生成数	Problems generated this month
report.linkText	誤りを報告する	Report an error
onboarding.step1.title	論理的思考力を、毎日5分で鍛えよう	Build logical thinking, 5 minutes a day
onboarding.step1.body	フェルミ推定・ケース面接・ロジカルシンキングを、AIと一緒に実践トレーニング。	Fermi estimation, case interviews, and logical thinking — practiced with AI.
onboarding.step2.title	目標を教えてください	What is your goal?
onboarding.step2.body	あなたに合ったコンテンツをおすすめします。	We will recommend content tailored for you.
onboarding.goal.consulting	コンサル / MBB 志望	Consulting / MBB
onboarding.goal.consultingDesc	ケース面接・フェルミ推定を徹底強化	Case interviews and Fermi estimation deep dives
onboarding.goal.business	ビジネスパーソン	Business professional
onboarding.goal.businessDesc	日常業務のロジカル思考を鍛える	Sharpen logical thinking for daily work
onboarding.goal.other	その他	Other
onboarding.goal.otherDesc	幅広い論理的思考トレーニング	Broad logical thinking training
onboarding.step3.title	7日間、無料で試せます	Try free for 7 days
onboarding.trialBadge	7日間無料トライアル	7-Day Free Trial
onboarding.trialDesc	トライアル期間中はすべての機能が使い放題。いつでもキャンセルできます。	All features unlocked during trial. Cancel anytime.
onboarding.standard.f1	全レッスン・クイズ	All lessons & quizzes
onboarding.standard.f2	AI問題生成 月30問	AI problem generation (30/mo)
onboarding.standard.f3	フェルミ推定・ロードマップ	Fermi estimation & roadmap
onboarding.premium.f1	スタンダードの全機能	Everything in Standard
onboarding.premium.f2	AI問題生成 無制限	Unlimited AI problem generation
onboarding.premium.f3	全ロールプレイシナリオ	All roleplay scenarios
onboarding.premium.f4	ケース面接 深掘りモード	Case interview deep dive mode
onboarding.ctaButton	今すぐ始める（カード登録へ）	Start now (card registration)
onboarding.ctaNote	トライアル終了後は月額¥500（スタンダード）が自動的に請求されます	After the trial, Standard plan (¥500/mo) will be charged automatically
